"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalization"
"CCND2",376.180814552043,-0.648777063517636,0.311479201121993,-2.08289048251263,0.0372612073461941,0.602050242866272,"RUVseq"
"C5",37.5204123603817,-0.358865037119799,0.172620939945058,-2.07891949397344,0.0376247506410243,0.602050242866272,"RUVseq"
"CXCR2",106.681238642742,-0.72722358607933,0.349137153059787,-2.08291664094196,0.0372588224955305,0.602050242866272,"RUVseq"
"CTSW",500.478719973161,-0.695590889943186,0.253415953610312,-2.74485832495307,0.00605370258096365,0.436986912030434,"RUVseq"
"IRF2",2973.90601691008,-0.331538299833439,0.151005744190308,-2.19553435937914,0.0281252889924215,0.602050242866272,"RUVseq"
"TNFRSF11A",292.037768311718,-0.708381857496754,0.352930445970374,-2.00714295290981,0.0447344438103774,0.602050242866272,"RUVseq"
"F2RL1",1065.94198580794,-0.642957378931561,0.306733211442103,-2.09614529808723,0.0360693037291324,0.602050242866272,"RUVseq"
"MTOR",1524.87452399924,-0.293573190908726,0.14663273754562,-2.00209854785935,0.0452741336851303,0.602050242866272,"RUVseq"
"CDKN1A",4629.07468607041,-0.604985795377816,0.276884195048619,-2.18497771341403,0.0288904807123925,0.602050242866272,"RUVseq"
"CD45RA",80.6780904246712,0.63153940601847,0.244817092097479,2.57963772303533,0.00989040118362355,0.49135817556506,"RUVseq"
"S100A9",1494.89268186982,-2.00099629222591,0.738141617210191,-2.71085689462774,0.00671095831497606,0.436986912030434,"RUVseq"
"APOL6",840.362922676039,-0.377431228167745,0.182935322846087,-2.06319491662798,0.0390941129236028,0.602050242866272,"RUVseq"
"TRIM21",486.14963597984,-0.277334621219056,0.137983035337086,-2.0099182522079,0.0444398416297674,0.602050242866272,"RUVseq"
"CXCL8",343.444803795243,-2.97520600628263,0.830367814710931,-3.58299774337757,0.000339673543327937,0.0913721831552152,"RUVseq"
"NFAM1",75.2071718441759,0.437328251630774,0.19026804161411,2.29848506307611,0.0215341970615701,0.602050242866272,"RUVseq"
"COMP",854.228976489682,1.27005563965813,0.50114914196398,2.53428676876677,0.0112676479296308,0.49135817556506,"RUVseq"
"PTEN",752.27727040117,-0.435274578685633,0.21596195547771,-2.01551508330624,0.0438507072666156,0.602050242866272,"RUVseq"
"SREBF1",708.962661452715,-0.470506840289026,0.176097402327943,-2.67185565527429,0.00754330886614496,0.436986912030434,"RUVseq"
"CXCL9",622.544771384568,0.810437770378657,0.402563260848808,2.01319357526527,0.044094268875194,0.602050242866272,"RUVseq"
"IL1B",241.298613732992,-1.17103851036846,0.482728351818253,-2.42587473049306,0.0152715405939848,0.51388530708273,"RUVseq"
"BCL2",81.2757767632734,0.698748098575686,0.339469885016512,2.05835076811511,0.0395564740438329,0.602050242866272,"RUVseq"
"MMP1",147.431669221993,-1.19819804891484,0.580309586846883,-2.06475659901685,0.0389460362820988,0.602050242866272,"RUVseq"
"ADM",1163.53035635504,-0.703072958878118,0.330703870480503,-2.12598950794429,0.0335041331632926,0.602050242866272,"RUVseq"
"PTPRC",39.5837141651955,0.503111537114307,0.243883497737378,2.06291750685024,0.0391204664987886,0.602050242866272,"RUVseq"
"FOSL1",643.067675394783,-0.604573747352133,0.296060319588521,-2.04206273975654,0.0411453082940758,0.602050242866272,"RUVseq"
"TLR5",135.486282647559,-0.375077611894592,0.179979626916591,-2.08400038560151,0.0371601321897164,0.602050242866272,"RUVseq"
"VEGFA",35.871463926922,-0.536222614597305,0.249073857843083,-2.15286589785399,0.0313292193043579,0.602050242866272,"RUVseq"
"FBP1",50.9338428392443,-0.938663651894229,0.451230288255538,-2.08023192663576,0.0375042651900578,0.602050242866272,"RUVseq"
"ERO1A",605.818190168128,-0.444268465348797,0.221997845655943,-2.00122872380182,0.0453677468519838,0.602050242866272,"RUVseq"
"MS4A1",53.1791424250614,1.14028109979502,0.333010285193154,3.42416180669504,0.000616698901299531,0.12441900333718,"RUVseq"
"SIRPB2",25.9218104331731,0.70308863420384,0.216067413405965,3.25402439507535,0.00113782508369724,0.153037473757279,"RUVseq"
"ID4",111.055293905908,0.794171633572374,0.329428848444651,2.41075314843231,0.0159196191785232,0.51388530708273,"RUVseq"
"SBNO2",320.515120699012,-0.464113736170369,0.191951510529423,-2.41786967391032,0.0156116671766188,0.51388530708273,"RUVseq"
"OAS1",433.255136040977,-0.709487964675016,0.326915248841614,-2.17025044622117,0.0299878783689703,0.602050242866272,"RUVseq"
"HLA-DQB1",221.946811949399,-3.45615970170742,0.803950754702269,-4.29896941011935,1.71594151497301e-05,0.0138476480258322,"RUVseq"
"IFI27",8129.96479662424,-0.875361749291818,0.300564373734962,-2.9123935695177,0.00358670405176865,0.314723504975152,"RUVseq"
"BTLA",17.71412408076,0.605378139386503,0.267825670864888,2.26034396714683,0.023799911202571,0.602050242866272,"RUVseq"
"CCL20",11.2123797184697,-0.618625373961905,0.30932395967047,-1.99992711402292,0.0455081348387145,0.602050242866272,"RUVseq"
"CXCL5",19.3044111373075,-1.56633611970219,0.50100847004927,-3.12636654535632,0.00176980810753383,0.204033591825686,"RUVseq"
"GMIP",18.6109174755229,0.422415352528789,0.212936089617375,1.98376589561604,0.0472819437076425,0.610593194442807,"RUVseq"
"CD70",103.188703127438,0.712539004083092,0.282189262258327,2.52503939512343,0.0115685320145429,0.49135817556506,"RUVseq"
"PCK2",130.926691230167,-0.664365203437677,0.272813895383566,-2.43523227621381,0.0148822330191852,0.51388530708273,"RUVseq"
"EPCAM",140.297767527239,-1.89409705546131,0.510134316592007,-3.71293793390529,0.000204867141333779,0.0826638915281798,"RUVseq"
